            , downBottom, downLeft, downRight, downTop, toBottom, toLeft, toRight, toTop, upBottom, upLeft, upRight, upTop
  downBottom,10,0,0,0,0,0,0,0,0,0,0,0
  downLeft  ,0,10,0,0,0,0,0,0,0,0,0,0
  downRight ,0,0,9,0,0,0,1,0,0,0,0,0
  downTop   ,0,0,0,10,0,0,0,0,0,0,0,0
  toBottom  ,0,0,0,0,9,0,0,1,0,0,0,0
  toLeft    ,0,0,0,0,0,10,0,0,0,0,0,0
  toRight   ,0,0,0,0,0,0,9,0,0,0,1,0
  toTop     ,0,0,0,0,0,0,0,10,0,0,0,0
  upBottom  ,0,0,0,0,0,0,0,0,10,0,0,0
  upLeft    ,0,0,0,0,0,0,0,0,0,10,0,0
  upRight   ,0,0,0,0,0,0,0,0,0,0,10,0
  upTop     ,0,0,0,0,0,0,0,0,0,0,0,10
,,,,,,,,,,,,
,1,1,0.9,1,0.9,1,0.9,1,1,1,1,1
